display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,link,multimedia
The Machine,R,0,Glenn Kenny,‘The Machine’ Review: A Hard-Partying Comedian Pays for His Sins,"In a movie extrapolated from one of his stand-up bits, Bert Kreischer is dragged to Russia to face a gory but still comedic reckoning.",2023-05-26,2023-05-26,2023-05-26 22:34:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/05/26/movies/the-machine-review-bert-kreischer.html', 'suggested_link_text': 'Read the New York Times Review of The Machine'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/05/30/multimedia/26machine1-tbvl/26machine1-tbvl-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
You Hurt My Feelings,R,1,Wesley Morris,‘You Hurt My Feelings’ Review: She Can’t Handle the Truth,"The director Nicole Holofcener’s characters are known for their brazen honesty. But it’s dishonesty that drives her new film, starring Julia Louis-Dreyfus.",2023-05-25,,2023-05-25 18:48:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/05/25/movies/you-hurt-my-feelings-review.html', 'suggested_link_text': 'Read the New York Times Review of You Hurt My Feelings'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/05/25/multimedia/25you-hurt1-hjgz/25you-hurt1-hjgz-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
The Wind & the Reckoning,,0,Concepción de León,‘The Wind & the Reckoning’ Review: A Hawaiian Story of Resistance,"A docudrama follows a family fighting to stay together and avoid exile to a leprosy colony, but fails to carry an emotional punch.",2023-05-25,,2023-05-25 18:26:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/05/25/movies/the-wind-and-the-reckoning-review.html', 'suggested_link_text': 'Read the New York Times Review of The Wind & the Reckoning'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/05/25/multimedia/25wind-reckoning-review-hlpz/25wind-reckoning-review-hlpz-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
We Might As Well Be Dead,,0,Teo Bugbee,‘We Might as Well Be Dead’ Review: Housing by Neighborhood Watch,A single mother fights for her place in a dystopian high rise in this unfocused satire.,2023-05-25,,2023-05-25 18:25:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/05/25/movies/we-might-as-well-be-dead-review.html', 'suggested_link_text': 'Read the New York Times Review of We Might As Well Be Dead'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/05/24/multimedia/we-might1-mlkb/we-might1-mlkb-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Will-o'-the-Wisp,Unrated,0,Amy Nicholson,‘Will-o’-the-Wisp’ Review: A Prince Throws Off His Privilege,"Or, at least, he kinda-sorta tries to rebel in this romantic, futuristic fable from the Portuguese director João Pedro Rodrigues.",2023-05-25,,2023-05-25 18:13:04,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/05/25/movies/will-o-the-wisp-review.html', 'suggested_link_text': ""Read the New York Times Review of Will-o'-the-Wisp""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/05/26/multimedia/25will-o-the-wisp-review-wbfq/25will-o-the-wisp-review-wbfq-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Unclenching the Fists,,0,Beatrice Loayza,‘Unclenching the Fists’ Review: The Cost of Freedom,Kira Kovalenko’s moody drama centers on a young woman trapped under her father’s thumb in the North Caucasus region of Russia.,2023-05-25,2023-05-26,2023-05-25 16:09:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/05/25/movies/unclenching-the-fists-review.html', 'suggested_link_text': 'Read the New York Times Review of Unclenching the Fists'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/05/25/multimedia/25unclenching-the-fists-review-pkvl/25unclenching-the-fists-review-pkvl-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
White Balls on Walls,,0,Lisa Kennedy,‘White Balls on Walls’ Review: Time With the Gatekeepers,The Stedelijk Museum in Amsterdam becomes a somewhat flimsy case study for fine-art diversity and inclusion conversations in this documentary.,2023-05-25,,2023-05-25 15:07:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/05/25/movies/white-balls-on-walls-review.html', 'suggested_link_text': 'Read the New York Times Review of White Balls on Walls'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/05/25/multimedia/25white-balls-on-walls-review-wkcf/25white-balls-on-walls-review-wkcf-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
The Wrath of Becky,R,0,Jeannette Catsoulis,‘The Wrath of Becky’ Review: Teenage Riot,The traumatized teen is back to finalize even more fascists in this comically bloody sequel.,2023-05-25,,2023-05-25 11:03:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/05/25/movies/the-wrath-of-becky-review-teenage-riot.html', 'suggested_link_text': 'Read the New York Times Review of The Wrath of Becky'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/05/24/multimedia/wrath1-mgkc/wrath1-mgkc-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Kandahar,R,0,Elisabeth Vincentelli,‘Kandahar’ Review: Marooned in a Dull Movie,"Gerard Butler plays an undercover C.I.A. agent hunted by various foes in an underwhelming action film devoid of any suspense or, well, action.",2023-05-25,2023-05-26,2023-05-25 11:05:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/05/25/movies/kandahar-review.html', 'suggested_link_text': 'Read the New York Times Review of Kandahar'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/05/25/multimedia/25kandahar-review-qgmz/25kandahar-review-qgmz-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Being Mary Tyler Moore,,0,Amy Nicholson,‘Being Mary Tyler Moore’ Review: A Tip of the Hat to the Tossed Hat,This charming documentary aims to peek under the smile of a groundbreaking television star.,2023-05-25,2023-05-26,2023-05-25 18:56:47,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/05/25/movies/being-mary-tyler-moore-review.html', 'suggested_link_text': 'Read the New York Times Review of Being Mary Tyler Moore'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/05/26/multimedia/mary1-wmpq/mary1-wmpq-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
About My Father,PG-13,0,Glenn Kenny,‘About My Father’ Review: De Niro in Dad Mode Again,"The comedian Sebastian Maniscalco enlists his “Irishman” colleague in this labored comedy, where gags fall flat.",2023-05-25,2023-05-26,2023-05-25 11:06:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/05/25/movies/about-my-father-review.html', 'suggested_link_text': 'Read the New York Times Review of About My Father'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/05/26/multimedia/25about-my-father-review-gkjz/25about-my-father-review-gkjz-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Influencer,,0,Brandon Yu,‘Influencer’ Review: Reading Between the Likes,"This thriller, about a mysterious woman’s obsession with online influencers, treats social media as a breeding ground for fear and obsession",2023-05-25,2023-01-01,2023-05-25 11:02:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/05/25/movies/influencer-review.html', 'suggested_link_text': 'Read the New York Times Review of Influencer'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/05/26/multimedia/25influencer-review-fwvb/25influencer-review-fwvb-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
The Attachment Diaries,,0,Jeannette Catsoulis,"‘The Attachment Diaries’ Review: Love, Sick","A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.",2023-05-25,,2023-05-25 11:01:04,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html', 'suggested_link_text': 'Read the New York Times Review of The Attachment Diaries'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/05/26/multimedia/attachment1-mbcw/attachment1-mbcw-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
